R;G;B;nm
0.71943;0.28057;0.00000;664
0.71967;0.28033;0.00000;665
0.71988;0.28012;0.00000;666
0.72007;0.27993;0.00000;667
0.72024;0.27976;0.00000;668
0.72039;0.27961;0.00000;669
0.72054;0.27946;0.00000;670
0.72067;0.27933;0.00000;671
0.72080;0.27920;0.00000;672
0.72093;0.27907;0.00000;673
0.72104;0.27896;0.00000;674
0.72115;0.27885;0.00000;675
0.72125;0.27875;0.00000;676
0.72134;0.27866;0.00000;677
0.72143;0.27857;0.00000;678
0.72151;0.27849;0.00000;679
0.72158;0.27842;0.00000;680
0.72165;0.27835;0.00000;681
0.72171;0.27829;0.00000;682
0.72177;0.27823;0.00000;683
0.72183;0.27817;0.00000;684
0.72187;0.27813;0.00000;685
0.72192;0.27808;0.00000;686
0.72195;0.27805;0.00000;687
0.72199;0.27801;0.00000;688
0.72202;0.27798;0.00000;689
0.72205;0.27795;0.00000;690
0.72208;0.27792;0.00000;691
0.72211;0.27789;0.00000;692
0.72213;0.27787;0.00000;693
0.72215;0.27785;0.00000;694
0.72217;0.27783;0.00000;695
0.72218;0.27782;0.00000;696
0.72218;0.27782;0.00000;697
0.72219;0.27781;0.00000;698
0.72219;0.27781;0.00000;699
0.72219;0.27781;0.00000;700
0.72219;0.27781;0.00000;701
0.72219;0.27781;0.00000;702
0.72219;0.27781;0.00000;703
0.72219;0.27781;0.00000;704
0.72219;0.27781;0.00000;705
0.72218;0.27782;0.00000;706
0.72217;0.27783;0.00000;707
0.72216;0.27784;0.00000;708
0.72215;0.27785;0.00000;709
0.72213;0.27787;0.00000;710
0.72210;0.27790;0.00000;711
0.72207;0.27793;0.00000;712
0.72204;0.27796;0.00000;713
0.72201;0.27799;0.00000;714
0.72198;0.27802;0.00000;715
0.72195;0.27805;0.00000;716
0.72192;0.27808;0.00000;717
0.72189;0.27811;0.00000;718
0.72185;0.27815;0.00000;719
0.72182;0.27818;0.00000;720
0.72179;0.27821;0.00000;721
0.72175;0.27825;0.00000;722
0.72171;0.27829;0.00000;723
0.72167;0.27833;0.00000;724
0.72163;0.27837;0.00000;725
0.72159;0.27841;0.00000;726
0.72155;0.27845;0.00000;727
0.72151;0.27849;0.00000;728
0.72147;0.27853;0.00000;729
0.72142;0.27858;0.00000;730
